start	end	text
2136460	2137700	ありがとうございます
2137700	2141960	そうですねちょっとまた1週間後ぐらいに
2141960	2147440	ちょっとそこら辺のですねご提案のお時間をいただけたらなというふうに思うんですけども
2147440	2150960	他に何か気になる部分とかってございますか
2150960	2161380	店舗で俗人化している情報も引き出せると良いみたいなことだと認識しているんですけど
2161380	2167740	それはお店によってカスタマイズできるようになっていると思うんですけど
2167740	2170520	そうなった場合って情報を何か
2170520	2174900	例えばスプレッドシートとかに一度入力していただいて
2174900	2182180	AIがネットの検索プラスそういう情報も参照できるようにしないと思ってるんですけど
2182180	2188420	そういうのっていうのは何かヒアリング項目とかってあったりしますかね
2188420	2196040	情報を集めるためのことをどこかにまとめてられたりとかってされますかね
2196040	2200440	そうですねそれも結構今ボトルネックで
2200440	2203340	これのステップの出体が
2203340	2210140	そもそも人手不足みたいなのを助ける意味合いとかもあったりするので、
2210140	2213100	後続人化の解消ももちろんなんですけれども、
2213100	2219100	そこで一番伝えたいお客様、買い取った先とか、
2219100	2224820	仕入れ元からいただいたストーリーをどうやって落とし込むかみたいなところも一番今、
2224820	2231860	ボトルネックで、それを入力したらあまり意味がないよねっていう話を
2231860	2245180	先方の方としていて、入力をするのであればちょっと時間がかかりすぎちゃうので、一応書かせていただいてるんですけれども、音声入力ですとか、
2245180	2256360	ここも何か簡単、いわゆるやりやすいようなものをこちらからご提案できればなというふうに考えているんですけれども、
2256360	2275060	その仕入れ先から入れた先ほど細井様がおっしゃっていたような、戦争から切られていてみたいな、その品物一点しかないような歴史とかストーリーを仕入れたところでどのように落とし込むかみたいなところも今、
2275060	2295460	そこが先方的にはそこが一番気になっているみたいで、そこがこう、なんていうんですかね、特に人があまり必要ないのであればすぐにでも受注したいというふうなお声をいただいているんですけれども、そこが一番どうにかしなければならないと言いますか、
2295460	2303060	どのように企業ごとの情報として持っておいてもらうのかというか
2303060	2307560	適しておいてもらうのかが今結構一番課題ですね
2307560	2309380	ありがとうございます
2309380	2314640	確かにそこに関しては手入力する時間も難しいと思うので
2314640	2318360	そこのあたりも一度考えてみます
2318360	2324240	僕たちが査定していた頃も基本的には
2324240	2329800	Googleとかで調べて上で新刊の部署みたいなのがあったんですけど
2329800	2333340	そちらの専門家の人に聞いて
2333340	2337620	これはこういうのですよというのを教えてもらったりして
2337620	2340460	というのがあったんですけど
2340460	2346020	そこをAI用にデータベース化しないことには
2346020	2351780	そのもの固有の情報を引き出すのは今のところ難しいかなと思っているので
2351780	2359320	一旦はネットで拾える情報で参照できるみたいなところまでで
2359320	2362780	モックアップで作成していこうかなというふうに考えています
2362780	2364080	ありがとうございます
2364080	2366960	僕はこのぐらいで以上です
2366960	2369160	ありがとうございます
2369160	2375520	そうすると来週のお時間だけここで設定させていただければと思うんですけれども
2375520	2378300	ご都合のいいタイミングでございますでしょうか
2378300	2388300	そうですね、来週が、今週のスケジュールが全くわからなくて、
2388300	2390420	11ですね
2390420	2396160	来週ですと
2396160	2403760	4,5,6
2403760	2404820	3から
2404820	2407900	3,4,5がちょっともうすでに厳しい
2407900	2408920	ですね
2408920	2413280	そうすると週頭しか
2413280	2415920	時間が取れなくなってしまうので
2415920	2417860	そうすると再来週になって
2417860	2420440	ものかなというふうにちょっと思っているんですけれども
2420440	2422560	承知しました
2422560	2426140	これどれくらい追い過ぎのプロジェクトとかでありますか
2426140	2427980	なるべく早くなったと思うんですけれども
2427980	2432060	逆についているわけではないんですけれども
2432060	2434080	一般の研修期間というものが
2434080	2436400	6月末で終わって
2436400	2441180	7月からそれぞれみんな配属みたいな形になるんですよ
2441180	2442000	なので
2442000	2444780	1年が経つのが
2444780	2449040	6月末までに見通しが立てばいいなという感じで
2449040	2453580	特に受注を急いでいるというかそういうわけではないんですけれども
2453580	2460180	見通しが立つのが6月末だと私としてはちょっと嬉しいなという
2460180	2462600	そうしました
2462600	2464560	そうすると来週は
2464560	2468120	ほかさんもし間に合えば来週の2日という選択肢もありますが
2468120	2470600	ちょっと厳しいですよね
2470600	2471360	そうですね
2471360	2474640	ちょっとカメラの木のところも入れそうなので入れたいんで
2474640	2481400	さっさと配置の後までもしよろしければ
2481400	2483580	設定させていただければと思うんですけれども
2483580	2486720	8とか9とかで
2486720	2490680	どこがご都合がいいとかわかりますか
2490680	2493800	言うほどのことがない限り
2493800	2497880	どこでも入れられると思っているよね私の場合は
2497880	2499780	なんか午前中の方がいいですとか
2499780	2505780	あ、あれは、星田さんもどこでもというか、比較的大丈夫そうですよね。
2505780	2511780	あ、わかりました。総称して8日、8日の、そうですね。
2511780	2520780	えーと、例えば12時から15時の間とかですと、どこかよろしいでしょうか。
2520780	2527780	一応今の中で14時、15時とか、14時、15時の時間。
2527780	2531840	しましょうすれば大丈夫ですかね はい大丈夫です
2531840	2537060	もしもちょっとこの後すぐにあのこのね ちょっと上司に確認いたしますのでもし
2537060	2541260	ちょっとこう動かせないようなスケジュール もすぐに入っていたりしたらすぐにご連絡
2541260	2545660	させていただきます そしてさあよろしくお願いします
2545660	2549840	はいありがとうございます えっとねー
2549840	2553900	ほかに何か水様の方からこうご質問ご 含めてございますでしょうか
2553900	2578460	そうですね、一応その一番冒頭でもお伝えさせていただいたんですけれども、見積もりを出していただくといった際に、横展開していく場合と、今お話をしている一斉の住宅開発になる場合との2パターンを出していただければなというのが一つ。
2579400	2581840	それ以外は特にございません。
2583900	2585900	お手元ありがとうございます
2585900	2589900	少しまた再来週ご提案のお時間いただければと思いますので
2589900	2591900	またよろしくお願いいたします
2591900	2593900	ありがとうございます
2593900	2595900	至らない点ばかりだったと思うんですけれども
2595900	2596900	何とでもございません
2596900	2598900	よろしくいただきましてありがとうございました
2598900	2600900	いついつよろしくお願いいたします
2600900	2601900	今後ともお願いいたします
2601900	2603900	ありがとうございます
2603900	2605900	失礼いたします
2610900	2612900	これは解像度高いです
2612900	2614900	これに関しては
2634900	2636900	僕らもGoogleレンズ使いまくってたんで
2636900	2637900	あっマジ?
2637900	2638900	はい
2638900	2639900	じゃあね近いところ使いまくる
2639900	2642900	僕、今でもできるんで
2642900	2643900	まーじ?
2643900	2644900	そう
2644900	2650900	めっちゃ嫌なスキルが一個ついちゃって
2650900	2653900	マチとかあれって言ったら服の値段分かっちゃうんですよ
2653900	2656900	それがめっちゃ嫌になりました
2656900	2658900	そんな特殊能力があるの?
2658900	2659900	そうなんですよ
2659900	2661900	すごいね
2661900	2664900	3年間の僕がやったら
2664900	2665900	そうですね
2665900	2668900	効率悪くなるってことはあんまりないと思うけど
2668900	2675900	今、売上とかオンライン決済とかどうやって取られてるんですか?
2688900	2693900	そこってもうすでにフリーとかと連携してたりとか、そう聞いてみないですか?
2693900	2697020	結構面倒くさいと思うのでやってないんじゃないかなと
2697020	2699120	スポライトフリー連携と
